id_komentar,author_name,updated_at,text,text_clean
Ugza-NR2wMtc48_IejF4AaABAg,@TempoVideoChannel,2025-05-17 04:35:28+00:00,Jadilah pemimpin yang mengambil keputusan menggunakan data dan menyelesaikan akar masalah tidak hanya mencari popularitas. ❤,pemimpin mengambil keputusan data menyelesaikan akar mencari popularitas
UgyN2Lp0-pULs53yQax4AaABAg,@agustizulfakar8406,2025-05-19 12:52:03+00:00,"Tenggelam kan TEMPO, semua beritanya berdasarkan asumsi bkn fakta..",tenggelam tempo beritanya berdasarkan asumsi fakta
Ugw632OSQ14DnG8wfrZ4AaABAg,@LbkVlog-o1x,2025-05-19 12:50:40+00:00,Tempotai,tempotai
Ugy4_LixBYmjxa80DSJ4AaABAg,@tazkaadiati4917,2025-05-19 12:48:59+00:00,"Hanya satu pertanyaan saya, ""Apakah yang Pak KDM lakukan (menggunakan 4 kamera dll utk kegiatan hariannya) merupakan kepentingan pribadi yang dilakukan di atas kepentingan bersama? Bukankah Pak KDM melakukan hal tsb dalam kapasitasnya sebagai gubernur? Dalam waktu bekerja, bukan? Dalam fasilitas negara, bukan? 
Kalau iya, jangan gunakan untuk kepentingan pribadi. Bagaimana pandangan hukum negara atas ini?"" 

Saya hanya bertanya. Yang berkenan, boleh menjawab.",kdm lakukan kamera dll kegiatan hariannya kepentingan pribadi kepentingan kdm kapasitasnya gubernur fasilitas negara iya kepentingan pribadi pandangan hukum negara berkenan
Ugy33yZdPsK16OQB7Wt4AaABAg,@hendihelmi7006,2025-05-19 12:48:42+00:00,Brp milyar anggaran untuj media yg dipangkas. Media termasuk  tempo resah 😅,milyar anggaran untuj media dipangkas media tempo resah
Ugzw2mzAwI-bJ-GztV14AaABAg,@mustikabuanasari123,2025-05-19 12:48:07+00:00,"Hidup bapa aing🔥 
Halig cacag nu loba capruk ku aksi maung (manusia unggul)",hidup bapa aing halig cacag nu loba capruk ku aksi maung manusia unggul
UgzHlutG0iPN6zt_a2J4AaABAg,@Yuliati-g5j,2025-05-19 12:47:55+00:00,Terlalu bertele tele kalian,bertele tele
Ugybrn4BU1eb4p4anGp4AaABAg,@seramotor,2025-05-19 12:44:48+00:00,awasss jangan ketipu lagi,awas tertipu
UgzI61jJ1hkzjbGjcHV4AaABAg,@emzee8888,2025-05-19 12:44:27+00:00,"KDM = 9 🐉
MAU JADI JOKOWI KE 2 NEGERI INI 🤣😂",kdm jokowi negeri
Ugw8CzvS45UkL0Rsjpd4AaABAg,@Yuliati-g5j,2025-05-19 12:43:07+00:00,Saya org Jatim tp saye senang skl kinerja KDM....walau dikritik KDM tetep dihati rakyat....Rkm byk koropsi JD km dukung kdmsampai dikusi no 1....❤,orang jatim saye senang skl kinerja kdm dikritik kdm dihati rakyat rkm koropsi dukung kdmsampai dikusi no
UgzoU6rgxt7ir8q5fVd4AaABAg,@RedWhite-h3c,2025-05-19 12:42:58+00:00,Coba ada Gubernur yg dermawan kasih anggaran hibah ke media Tempe..ya aman lah...bikin Tempe kan pakai duit....,coba gubernur dermawan kasih anggaran hibah media tempe ya aman bikin tempe pakai duit
UgzYMO3fb9CObCSXIn94AaABAg,@armanazhar8615,2025-05-19 12:41:35+00:00,KDM ternak 9 Naga. Waspada,kdm ternak naga waspada
UgxQYlk6w6bzYV2hEOd4AaABAg,@agengselo5408,2025-05-19 12:41:33+00:00,"Denger denger tempo berafiliasi dengan George Soros. 
Bener nggak nih.. ?",dengar dengar tempo berafiliasi george soros nih
UgxUbZGf-EYcfhZy25J4AaABAg,@agresgondrong6706,2025-05-19 12:39:53+00:00,"Terserah elo"" pada ngoceh apapunn...intinya bapak aing boga aing...jabar istimewa",terserah lo mengoceh apapunn intinya aing boga aing jabar istimewa
UgzaPJvtvn6ezX6oIgh4AaABAg,@munawarsatria,2025-05-19 12:39:32+00:00,sudah tidak bisa lagi kita bedakan buzzer dan non-buzzer di kolom komentar wkwkwk,bedakan buzzer non buzzer kolom komentar wkwkwk
UgwkCB0wz9G-_tsNdw14AaABAg,@armanazhar8615,2025-05-19 12:39:04+00:00,Waspada terhadap KDM. Jgn sempat ada jokowi jilit  2 dan gibran.,waspada kdm jokowi jilit gibran
UgwW1asWqn39AKsptvZ4AaABAg,@muhammadfahd8488,2025-05-19 12:38:56+00:00,"Klo ini bukan pecitraan,,,
Tapi kenyataan
Dan dirasakan masyarakat,,,",kalo pecitraan kenyataan dirasakan masyarakat
UgwQaEy19OOLBHpNYkB4AaABAg,@RedWhite-h3c,2025-05-19 12:36:18+00:00,Bocor Alus cuma Obrolan warung kopi bukan produk jurnalistik. Promosikan aja tokoh yang didukung Tempo jangan malu malu.....,bocor alus obrolan warung kopi produk jurnalistik promosikan tokoh didukung tempo malu malu
Ugykvi8YQtuAyC_ezlt4AaABAg,@kamajaya9807,2025-05-19 12:35:23+00:00,"Saya Warga Jateng sangat mendukung dan mengidolakan kepemimpinan seperti  KDM, walaupun dikritisi sedemikian oleh pihak yang tidak setuju tapi Rakyat bisa menilai dengan haknya jika kami sebagai warga Jabar pasti sungguh merasa senang. Silakan dikritisi tapi kami semakin mendukungnya",warga jateng mendukung mengidolakan kepemimpinan kdm dikritisi setuju rakyat menilai haknya warga jabar sungguh senang silakan dikritisi mendukungnya
UgxJLdoashkDoCQtcBt4AaABAg,@ajibahmad293,2025-05-19 12:34:33+00:00,yang ga suka KDM rata2 orang diluar wilayah Jawa barat 🤣🤣🤣,suka kdm orang diluar wilayah jawa barat
